player_id,player_name,position_group,wiki_title,wiki_url,summary,categories
00-0036265,A.J. Dillon,RB,A. J. Dillon,https://en.wikipedia.org/wiki/A._J._Dillon,"Algiers Jameal William Dillon Jr. (born May 2, 1998), nicknamed ""Quadzilla"", is an American professional football running back for the Carolina Panthers of the National Football League (NFL). He played college football for the Boston College Eagles, with whom he became the school's all-time rushing yards leader with 4,382 yards.","1998 births | 21st-century American Jews | 21st-century American sportsmen | All Wikipedia articles written in American English | American football running backs | Articles with short description | Boston College Eagles football players | Carolina Panthers currentteam parameter articles | Carolina Panthers players | Commons category link from Wikidata | Green Bay Packers players | Jewish American players of American football | Living people | Philadelphia Eagles players | Players of American football from Baltimore | Players of American football from New London County, Connecticut | Short description is different from Wikidata | Use American English from March 2019 | Use mdy dates from March 2024"
00-0035583,A.J. Ouellette,RB,A. J. Ouellette,https://en.wikipedia.org/wiki/A._J._Ouellette,"A. J. Ouellette (born July 20, 1995) is an American professional football running back for the Saskatchewan Roughriders of the Canadian Football League (CFL). He has previously played for the Toronto Argonauts.","1995 births | American football running backs | Articles with short description | Canadian football running backs | Cleveland Browns players | Living people | New Orleans Saints players | Ohio Bobcats football players | People from Covington, Ohio | Players of American football from Miami County, Ohio | Players of Canadian football from Ohio | Saskatchewan Roughriders players | Short description is different from Wikidata | Toronto Argonauts players | Use mdy dates from July 2024"
00-0036819,A.J. Rose,RB,AJ Barner,https://en.wikipedia.org/wiki/AJ_Barner,"AJ Barner (born May 3, 2002) is an American professional football tight end for the Seattle Seahawks of the National Football League (NFL). He played college football for the Indiana Hoosiers and Michigan Wolverines. Barner transferred to Michigan for his senior season, winning a national championship in 2023. He was selected by the Seahawks in the fourth round of the 2024 NFL draft.","2002 births | 21st-century American sportsmen | All Wikipedia articles written in American English | American football tight ends | Articles with short description | Commons category link from Wikidata | Indiana Hoosiers football players | Living people | Michigan Wolverines football players | People from Aurora, Ohio | Players of American football from Portage County, Ohio | Seattle Seahawks currentteam parameter articles | Seattle Seahawks players | Short description is different from Wikidata | Use American English from December 2025 | Use mdy dates from February 2026"
00-0027129,Aaron Brown,RB,Aaron Anderson (American football),https://en.wikipedia.org/wiki/Aaron_Anderson_(American_football),"Aaron Anderson (born December 2, 2002) is an American professional football wide receiver for the Cleveland Browns of the National Football League (NFL). He played college football for the Alabama Crimson Tide and the LSU Tigers.",2002 births | 21st-century American sportsmen | Alabama Crimson Tide football players | American football wide receivers | Articles with short description | Cleveland Browns currentteam parameter articles | Cleveland Browns players | Date of birth not in Wikidata | LSU Tigers football players | Living people | Players of American football from New Orleans | Short description is different from Wikidata | Use mdy dates from April 2026
00-0039191,Aaron Dykes,RB,2026 FIFA World Cup squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,"The 2026 FIFA World Cup is an international football tournament which will be held in Canada, Mexico, and United States, from June 11 to July 19, 2026. The 48 national teams involved in the tournament will be required to register a squad of up to 26 players, including three goalkeepers. Only players in these squads will eligible to take part in the tournament.
A provisional release list of between 35 and 55 players per national team had to be submitted to FIFA by May 11, 2026, one month prior to the opening match of the tournament. The release lists will not be made public by FIFA. From the preliminary squad, the final list of at least 23 and at most 26 players per national team will be submitted to FIFA by June 1, ten days prior to the opening match of the tournament. In the event that a player on the submitted squad list suffers from an injury or illness prior to his team's first match of the tournament, that player could be replaced at any time up to 24 hours before their first match. The team doctor and the FIFA General Medical Officer have to both confirm that the injury or illness is severe enough to prevent the player from participating in the tournament. Replacement players do not need to be limited to the preliminary list.
The position listed for each player is per the official squad list published by FIFA. The age listed for each player is as of June 11, 2026, the first day of the tournament. The numbers of caps and goals listed for each player do not include any matches played after the start of the tournament. The club listed is the club for which the player last played a competitive match prior to the tournament. The nationality for each club reflects the national association (not the league) to which the club is affiliated. A flag is included for coaches who are of a different nationality to their team.

",2026 FIFA World Cup | All Wikipedia articles written in American English | All articles needing additional references | Articles needing additional references from May 2026 | Articles with short description | CS1 Arabic-language sources (ar) | CS1 Bosnian-language sources (bs) | CS1 Croatian-language sources (hr) | CS1 Czech-language sources (cs) | CS1 Dutch-language sources (nl) | CS1 French-language sources (fr) | CS1 German-language sources (de) | CS1 Haitian Creole-language sources (ht) | CS1 Korean-language sources (ko) | CS1 Norwegian-language sources (no) | CS1 Persian-language sources (fa) | CS1 Portuguese-language sources (pt) | CS1 Spanish-language sources (es) | CS1 Swedish-language sources (sv) | CS1 Turkish-language sources (tr) | CS1 Uzbek-language sources (uz) | FIFA World Cup squads | Interlanguage link template existing link | Official website not in Wikidata | Pages calling interlanguage link with many languages | Short description is different from Wikidata | Use American English from May 2026 | Use mdy dates from May 2026
00-0032672,Aaron Green,RB,Aaron Green (American football),https://en.wikipedia.org/wiki/Aaron_Green_(American_football),"Aaron Green (born October 15, 1992) is an American former professional football player who was a running back in the National Football League (NFL). He played college football for the TCU Horned Frogs and was signed by the Los Angeles Rams as an undrafted free agent in 2016.",1992 births | 21st-century African-American sportsmen | 21st-century American sportsmen | All Wikipedia articles written in American English | American football running backs | Articles with short description | Buffalo Bills players | Dallas Cowboys players | Living people | Los Angeles Rams players | Nebraska Cornhuskers football players | Players of American football from San Antonio | San Antonio Commanders players | Short description matches Wikidata | TCU Horned Frogs football players | Use American English from September 2025 | Use mdy dates from June 2024
00-0033293,Aaron Jones,RB,Aaron Jones,https://en.wikipedia.org/wiki/Aaron_Jones,"Aaron Jones may refer to:

Aaron Jones (defensive end) (born 1966), American football player
Aaron Jones (running back) (born 1994), American football player
Aaron Jones (basketball) (born 1993), American basketball player
Aaron Jones (cricketer) (born 1994), American and Barbadian cricketer
Aaron Jones (footballer, born 1881) (1881–1954), English footballer
Aaron Jones (footballer, born 1994), English footballer
Aaron Jones (musician), member of Scottish band Old Blind Dogs",All article disambiguation pages | All disambiguation pages | Human name disambiguation pages | Short description is different from Wikidata
00-0031612,Aaron Ripkowski,RB,Aaron Ripkowski,https://en.wikipedia.org/wiki/Aaron_Ripkowski,"Aaron Randal Ripkowski (born December 20, 1992) is an American former professional football player who was a fullback in the National Football League (NFL). He played college football for the Oklahoma Sooners, and was selected by the Green Bay Packers in the sixth round of the 2015 NFL draft.","1992 births | All Wikipedia articles written in American English | American football fullbacks | American people of Polish descent | Articles with short description | Green Bay Packers players | Kansas City Chiefs players | Living people | Oklahoma Sooners football players | People from Dayton, Texas | Players of American football from Liberty County, Texas | Short description is different from Wikidata | Sportspeople from the Houston metropolitan area | Template:NFL predraft has unconvertable input | Use American English from July 2025 | Use mdy dates from March 2024"
00-0037609,Aaron Shampklin,RB,Aaron Shampklin,https://en.wikipedia.org/wiki/Aaron_Shampklin,"Aaron Shampklin (born October 18, 1999) is an American former professional football player who was a running back in the National Football League (NFL). He played college football for the Harvard Crimson. He played professionally for the Dallas Cowboys, Indianapolis Colts, Houston Gamblers, Los Angeles Chargers and Pittsburgh Steelers.","1999 births | American football running backs | Articles with short description | Canadian football running backs | Dallas Cowboys players | Harvard Crimson football players | Indianapolis Colts players | Living people | Long Beach Polytechnic High School alumni | Los Angeles Chargers players | Miami Dolphins players | Montreal Alouettes players | People from Paramount, California | Pittsburgh Steelers players | Players of American football from Los Angeles County, California | Players of Canadian football from California | Short description matches Wikidata | Use mdy dates from September 2023"
00-0019564,Aaron Shea,RB,Aaron Shea,https://en.wikipedia.org/wiki/Aaron_Shea,"Aaron T. Shea (born December 5, 1976) is an American former professional football player who was a tight end in the National Football League (NFL). He was selected by the Cleveland Browns in the fourth round of the 2000 NFL draft. He played college football for the Michigan Wolverines.
Shea also played for the San Diego Chargers.","1976 births | All BLP articles lacking sources | All articles with dead external links | American football fullbacks | American football tight ends | Articles with dead external links from September 2018 | Articles with permanently dead external links | Articles with short description | BLP articles lacking sources from October 2016 | Cleveland Browns players | Living people | Michigan Wolverines football players | Players of American football from Illinois | San Diego Chargers players | Short description is different from Wikidata | Sportspeople from Ottawa, Illinois | Use mdy dates from January 2019"
